SiteNumber,IslandCode,IslandName,SiteCode,SiteName,ReserveStatus,Latitude,Longitude,MeanDepth,ARMs,Bath,SiteName2
37,All,All,All,All,N/A,33.764155,-119.727676,36.58,FALSE,FALSE,All
38,SMI,San Miguel Island,SM,San Miguel Island,N/A,34.039197,-120.372535,31.82,FALSE,FALSE,San Miguel Island
39,SRI,Santa Rosa Island,SR,Santa Rosa Island,N/A,33.965697,-120.102567,41.59,FALSE,FALSE,Santa Rosa Island
40,SCI,Santa Cruz Island,SC,Santa Cruz Island,N/A,34.011429,-119.735663,37.12,FALSE,FALSE,Santa Cruz Island
41,ANI,Anacapa Island,AN,Anacapa Island,N/A,34.009349,-119.392936,33.37,FALSE,FALSE,Anacapa Island
42,SBI,Santa Barbara Island,SB,Santa Barbara Island,N/A,33.475921,-119.036777,34.26,FALSE,FALSE,Santa Barbara Island
1,SM,San Miguel Island,WL,Wyckoff Ledge,Outside,34.02236667,-120.3874667,43.27,FALSE,FALSE,__Wyckoff Ledge
2,SM,San Miguel Island,HR,Hare Rock,Inside,34.06438333,-120.3566,20.5,FALSE,FALSE,__Hare Rock
3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,Outside,33.90146667,-120.1029667,33.18,TRUE,FALSE,__Johnson's Lee North
4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,Outside,33.89753333,-120.10075,46.72,TRUE,FALSE,__Johnson's Lee South
5,SR,Santa Rosa Island,RR,Rodes Reef,Outside,34.03261667,-120.107,44.77,FALSE,FALSE,__Rodes Reef
6,SC,Santa Cruz Island,GI,Gull Island South,Inside,33.94966667,-119.8275833,52,TRUE,FALSE,__Gull Island South
7,SC,Santa Cruz Island,FH,Fry's Harbor,Outside,34.10635,-119.75515,40.82,TRUE,FALSE,__Fry's Harbor
8,SC,Santa Cruz Island,PB,Pelican Bay,Outside,34.03488333,-119.7030833,21.33,TRUE,FALSE,__Pelican Bay
9,SC,Santa Cruz Island,SA,Scorpion Anchorage,Inside,34.04798333,-119.5514,15.45,TRUE,TRUE,__Scorpion Anchorage
10,SC,Santa Cruz Island,YB,Yellow Banks,Outside,33.98983333,-119.5630667,50.67,TRUE,FALSE,__Yellow Banks
11,AN,Anacapa Island,AR,Admiral's Reef,Outside,34.00775,-119.4343833,44.36,TRUE,TRUE,__Admiral's Reef
12,AN,Anacapa Island,CC,Cathedral Cove,Inside,34.01586667,-119.3717333,26.45,TRUE,TRUE,__Cathedral Cove
13,AN,Anacapa Island,LC,Landing Cove,Inside,34.01703333,-119.3611333,24.25,TRUE,TRUE,__Landing Cove
14,SB,Santa Barbara Island,SESL,SE Sea Lion Rookery,Inside,33.46611667,-119.0277833,43.09,FALSE,FALSE,__SE Sea Lion Rookery
15,SB,Santa Barbara Island,AP,Arch Point,Outside,33.48753333,-119.0275833,24.82,FALSE,FALSE,__Arch Point
16,SB,Santa Barbara Island,CAT,Cat Canyon,Outside,33.46441667,-119.0391667,25.91,FALSE,FALSE,__Cat Canyon
21,SM,San Miguel Island,MM,Miracle Mile,Outside,34.0237,-120.3951333,27.55,TRUE,FALSE,__Miracle Mile
22,SR,Santa Rosa Island,CP,Cluster Point,Outside,33.92303333,-120.1873667,45.33,FALSE,FALSE,__Cluster Point
23,SR,Santa Rosa Island,TC,Trancion Canyon,Inside,33.90855,-120.1555333,42.18,FALSE,FALSE,__Trancion Canyon
24,SR,Santa Rosa Island,CSAW,Chickasaw,Inside,33.90036667,-120.1356667,36.6,FALSE,FALSE,__Chickasaw
25,SR,Santa Rosa Island,SP,South Point,Inside,33.89233333,-120.1195,41.09,FALSE,FALSE,__South Point
26,SC,Santa Cruz Island,DPM,Devil's Peak Member,Outside,34.04488333,-119.6012667,38.45,FALSE,TRUE,__Devil's Peak Member
27,SC,Santa Cruz Island,PP,Potato Pasture,Inside,34.05216667,-119.5821167,37,FALSE,TRUE,__Potato Pasture
28,SC,Santa Cruz Island,CVP,Cavern Point,Inside,34.05428333,-119.5668667,40,FALSE,TRUE,__Cavern Point
29,SC,Santa Cruz Island,LS,Little Scorpion,Outside,34.04415,-119.54245,37.82,FALSE,TRUE,__Little Scorpion
30,SC,Santa Cruz Island,PRF,Pedro Reef,Outside,34.03836667,-119.5253,29.73,FALSE,TRUE,__Pedro Reef
31,AN,Anacapa Island,KH,Keyhole,Inside,34.01641667,-119.4320167,29.64,FALSE,TRUE,__Keyhole
32,AN,Anacapa Island,EFC,East Fish Camp,Outside,34.0045,-119.3857833,38.09,FALSE,TRUE,__East Fish Camp
33,AN,Anacapa Island,BSBR,Black Sea Bass Reef,Inside,34.0126,-119.3891833,53.18,FALSE,TRUE,__Black Sea Bass Reef
34,AN,Anacapa Island,LH,Lighthouse,Outside,34.0141,-119.3590167,27.91,FALSE,TRUE,__Lighthouse
35,SB,Santa Barbara Island,WA,Webster's Arch,Outside,33.47985,-119.0622,48.18,FALSE,FALSE,__Webster's Arch
36,SB,Santa Barbara Island,GC,Graveyard Canyon,Inside,33.47306667,-119.0268167,38.14,FALSE,FALSE,__Graveyard Canyon
37,SB,Santa Barbara Island,SER,Southeast Reef,Inside,33.46293333,-119.0312667,38.73,TRUE,FALSE,__Southeast Reef
