Species,ScientificName,CommonName,AlternateTaxonName,SpeciesName,Life_Stage,Sex
2016,Sargassum horneri,Devil Weed (Adult),"Sargassum horneri, adult",Sargassum horneri adult (>0.5m tall),Adult,NA
5002,Tethya aurantia,Orange Puffball Sponge,Tethya aurantia,Tethya aurantia,NA,NA
6001,Stylaster californicus,California Hydrocoral,Stylaster californicus,Stylaster californicus,NA,NA
6002,Urticina lofotensis,White Spotted Rose Anemone,Urticina lofotensis,Urticina lofotensis,NA,NA
6006,Lophogorgia chilensis,Red Gorgonian,Lophogorgia chilensis,Lophogorgia chilensis,NA,NA
6007,Muricea fruticosa,Brown Gorgonian,Muricea fruticosa,Muricea fruticosa,NA,NA
6008,Muricea californica,California Golden Gorgonian,Muricea californica,Muricea californica,NA,NA
8001,Panulirus interruptus,California Spiny Lobster,Panulirus interruptus,Panulirus interruptus,NA,NA
9002,Haliotis rufescens,Red Abalone,Haliotis rufescens,Haliotis rufescens,NA,NA
9003,Haliotis corrugata,Pink Abalone,Haliotis corrugata,Haliotis corrugata,NA,NA
9004,Haliotis fulgens,Green Abalone,Haliotis fulgens,Haliotis fulgens,NA,NA
9006,Kelletia kelletii,Kellets Whelk,Kelletia kelletii,Kelletia kelletii,NA,NA
9009,Megathura crenulata,Giant Keyhole Limpet,Megathura crenulata,Megathura crenulata,NA,NA
9010,Crassedoma giganteum,Rock Scallop,Crassedoma giganteum,Crassedoma giganteum,NA,NA
9011,Aplysia californica,California Brown Sea Hare,Aplysia californica,Aplysia californica,NA,NA
11003,Pycnopodia helianthoides,Sunflower Star,Pycnopodia helianthoides,Pycnopodia helianthoides,NA,NA
11004,Lytechinus anamesus,White Urchin,Lytechinus anamesus,Lytechinus anamesus,NA,NA
11002,Pisaster giganteus,Giant-spined Sea Star,Pisaster giganteus,Pisaster giganteus,NA,NA
11011,Pisaster ochraceus,Ochre Star,Pisaster ochraceus,Pisaster ochraceus,NA,NA
2016.5,Sargassum horneri,Devil Weed (Juvenile),"Sargassum horneri, juvenile",Sargassum horneri juvenile (<0.5m tall),Juvenile,NA
2009,Undaria pinnatifida,Wakame (Adult),"Undaria pinnatifida, adult",Undaria pinnatifida adult,Adult,NA
2009.5,Undaria pinnatifida,Wakame (Juvenile),"Undaria pinnatifida, juvenile",Undaria pinnatifida juvenile,Juvenile,NA
9012,Haliotis assimilis,Threaded Abalone,Haliotis assimilis,Haliotis assimilis,NA,NA
9013,Haliotis sorenseni,White Abalone,Haliotis sorenseni,Haliotis sorenseni,NA,NA
9015,Cryptochiton stelleri,Gumboot Chiton,Cryptochiton stelleri,Cryptochiton stelleri,NA,NA
